202202 202201 Inquiry How was your summer vacation? 2023082820.175700
AS1 202204 Notice There is 1 new course 2023083113.440800
AS1 202205 Notice There is 1 new course 2023083113.440800
AS1 202206 Notice There is 1 new course 2023083113.440800
AS1 202207 Notice There is 1 new course 2023083113.440800
AS1 202208 Notice There is 1 new course 2023083113.440800
AS1 202209 Notice There is 1 new course 2023083113.440800
AS1 202210 Notice There is 1 new course 2023083113.440800
AS1 202211 Notice There is 1 new course 2023083113.440800
AS1 202212 Notice There is 1 new course 2023083113.440800
AS1 202213 Notice There is 1 new course 2023083113.440800
AS1 202214 Notice There is 1 new course 2023083113.440800
AS1 202215 Notice There is 1 new course 2023083113.440800
AS1 202216 Notice There is 1 new course 2023083113.440800
AS2 202201 Notice There are 2 new courses 2023083113.495900
AS2 202202 Notice There are 2 new courses 2023083113.495900
AS2 202203 Notice There are 2 new courses 2023083113.495900
AS2 202204 Notice There are 2 new courses 2023083113.495900
AS2 202205 Notice There are 2 new courses 2023083113.495900
AS2 202206 Notice There are 2 new courses 2023083113.495900
AS2 202207 Notice There are 2 new courses 2023083113.495900
AS2 202208 Notice There are 2 new courses 2023083113.495900
AS2 202209 Notice There are 2 new courses 2023083113.495900
AS2 202210 Notice There are 2 new courses 2023083113.495900
AS2 202211 Notice There are 2 new courses 2023083113.495900
AS2 202212 Notice There are 2 new courses 2023083113.495900
AS2 202213 Notice There are 2 new courses 2023083113.495900
AS2 202214 Notice There are 2 new courses 2023083113.495900
AS2 202215 Notice There are 2 new courses 2023083113.495900
AS2 202216 Notice There are 2 new courses 2023083113.495900
AS1 T2 Notice Higher Mathematics course has been cancelled due to insufficient enrollment 2023083115.082300
AS1 202201 Notice 1 course has been deleted 2023083115.082300
AS1 202202 Notice 1 course has been deleted 2023083115.082300
AS1 202203 Notice 1 course has been deleted 2023083115.082300
AS1 202204 Notice 1 course has been deleted 2023083115.082300
AS1 202205 Notice 1 course has been deleted 2023083115.082300
AS1 202206 Notice 1 course has been deleted 2023083115.082300
AS1 202207 Notice 1 course has been deleted 2023083115.082300
AS1 202208 Notice 1 course has been deleted 2023083115.082300
AS1 202209 Notice 1 course has been deleted 2023083115.082300
AS1 202210 Notice 1 course has been deleted 2023083115.082300
AS1 202211 Notice 1 course has been deleted 2023083115.082300
AS1 202212 Notice 1 course has been deleted 2023083115.082300
AS1 202213 Notice 1 course has been deleted 2023083115.082300
AS1 202214 Notice 1 course has been deleted 2023083115.082300
AS1 202215 Notice 1 course has been deleted 2023083115.082300
AS1 202216 Notice 1 course has been deleted 2023083115.082300
AS1 T4 Notice Algorithms and Data Structures course has been cancelled due to insufficient enrollment 2023083117.403700
AS1 202201 Notice 1 course has been deleted 2023083117.403700
AS1 202202 Notice 1 course has been deleted 2023083117.403700
AS1 202203 Notice 1 course has been deleted 2023083117.403700
AS1 202204 Notice 1 course has been deleted 2023083117.403700
AS1 202205 Notice 1 course has been deleted 2023083117.403700
AS1 202206 Notice 1 course has been deleted 2023083117.403700
AS1 202207 Notice 1 course has been deleted 2023083117.403700
AS1 202208 Notice 1 course has been deleted 2023083117.403700
AS1 202209 Notice 1 course has been deleted 2023083117.403700
AS1 202210 Notice 1 course has been deleted 2023083117.403700
AS1 202211 Notice 1 course has been deleted 2023083117.403700
AS1 202212 Notice 1 course has been deleted 2023083117.403700
AS1 202213 Notice 1 course has been deleted 2023083117.403700
AS1 202214 Notice 1 course has been deleted 2023083117.403700
AS1 202215 Notice 1 course has been deleted 2023083117.403700
AS1 202216 Notice 1 course has been deleted 2023083117.403700
AS1 202217 Notice 1 course has been deleted 2023083117.403700
AS1 202201 Notice There is 1 new course 2023083117.432500
AS1 202202 Notice There is 1 new course 2023083117.432500
AS1 202203 Notice There is 1 new course 2023083117.432500
AS1 202204 Notice There is 1 new course 2023083117.432500
AS1 202205 Notice There is 1 new course 2023083117.432500
AS1 202206 Notice There is 1 new course 2023083117.432500
AS1 202207 Notice There is 1 new course 2023083117.432500
AS1 202208 Notice There is 1 new course 2023083117.432500
AS1 202209 Notice There is 1 new course 2023083117.432500
AS1 202210 Notice There is 1 new course 2023083117.432500
AS1 202211 Notice There is 1 new course 2023083117.432500
AS1 202212 Notice There is 1 new course 2023083117.432500
AS1 202213 Notice There is 1 new course 2023083117.432500
AS1 202214 Notice There is 1 new course 2023083117.432500
AS1 202215 Notice There is 1 new course 2023083117.432500
AS1 202216 Notice There is 1 new course 2023083117.432500
AS1 202217 Notice There is 1 new course 2023083117.432500
AS1 202201 Notice There is 1 new course 2023083117.590800
AS1 202202 Notice There is 1 new course 2023083117.590800
AS1 202203 Notice There is 1 new course 2023083117.590800
AS1 202204 Notice There is 1 new course 2023083117.590800
AS1 202205 Notice There is 1 new course 2023083117.590800
AS1 202206 Notice There is 1 new course 2023083117.590800
AS1 202207 Notice There is 1 new course 2023083117.590800
AS1 202208 Notice There is 1 new course 2023083117.590800
AS1 202209 Notice There is 1 new course 2023083117.590800
AS1 202210 Notice There is 1 new course 2023083117.590800
AS1 202211 Notice There is 1 new course 2023083117.590800
AS1 202212 Notice There is 1 new course 2023083117.590800
AS1 202213 Notice There is 1 new course 2023083117.590800
AS1 202214 Notice There is 1 new course 2023083117.590800
AS1 202215 Notice There is 1 new course 2023083117.590800
AS1 202216 Notice There is 1 new course 2023083117.590800
AS1 202217 Notice There is 1 new course 2023083117.590800
202201 A1 Course withdrawal time When will course withdrawal be open? 2023083120.144700
AS1 202201 Notice There is 1 new course 2023083120.360000
AS1 202202 Notice There is 1 new course 2023083120.360000
AS1 202203 Notice There is 1 new course 2023083120.360000
AS1 202204 Notice There is 1 new course 2023083120.360000
AS1 202205 Notice There is 1 new course 2023083120.360000
AS1 202206 Notice There is 1 new course 2023083120.360000
AS1 202207 Notice There is 1 new course 2023083120.360000
AS1 202208 Notice There is 1 new course 2023083120.360000
AS1 202209 Notice There is 1 new course 2023083120.360000
AS1 202210 Notice There is 1 new course 2023083120.360000
AS1 202211 Notice There is 1 new course 2023083120.360000
AS1 202212 Notice There is 1 new course 2023083120.360000
AS1 202213 Notice There is 1 new course 2023083120.360000
AS1 202214 Notice There is 1 new course 2023083120.360000
AS1 202215 Notice There is 1 new course 2023083120.360000
AS1 202216 Notice There is 1 new course 2023083120.360000
AS1 202217 Notice There is 1 new course 2023083120.360000
AS1 T2 Notice Swimming course has been cancelled due to insufficient enrollment 2023083120.384700
AS1 202201 Notice 1 course has been deleted 2023083120.384700
AS1 202202 Notice 1 course has been deleted 2023083120.384700
AS1 202203 Notice 1 course has been deleted 2023083120.384700
AS1 202204 Notice 1 course has been deleted 2023083120.384700
AS1 202205 Notice 1 course has been deleted 2023083120.384700
AS1 202206 Notice 1 course has been deleted 2023083120.384700
AS1 202207 Notice 1 course has been deleted 2023083120.384700
AS1 202208 Notice 1 course has been deleted 2023083120.384700
AS1 202209 Notice 1 course has been deleted 2023083120.384700
AS1 202210 Notice 1 course has been deleted 2023083120.384700
AS1 202211 Notice 1 course has been deleted 2023083120.384700
AS1 202212 Notice 1 course has been deleted 2023083120.384700
AS1 202213 Notice 1 course has been deleted 2023083120.384700
AS1 202214 Notice 1 course has been deleted 2023083120.384700
AS1 202215 Notice 1 course has been deleted 2023083120.384700
AS1 202216 Notice 1 course has been deleted 2023083120.384700
AS1 202217 Notice 1 course has been deleted 2023083120.384700
AS1 202201 Notice There are 3 new courses 2023090100.212600
AS1 202202 Notice There are 3 new courses 2023090100.212600
AS1 202203 Notice There are 3 new courses 2023090100.212600
AS1 202204 Notice There are 3 new courses 2023090100.212600
AS1 202205 Notice There are 3 new courses 2023090100.212600
AS1 202206 Notice There are 3 new courses 2023090100.212600
AS1 202207 Notice There are 3 new courses 2023090100.212600
AS1 202208 Notice There are 3 new courses 2023090100.212600
AS1 202209 Notice There are 3 new courses 2023090100.212600
AS1 202210 Notice There are 3 new courses 2023090100.212600
AS1 202211 Notice There are 3 new courses 2023090100.212600
AS1 202212 Notice There are 3 new courses 2023090100.212600
AS1 202213 Notice There are 3 new courses 2023090100.212600
AS1 202214 Notice There are 3 new courses 2023090100.212600
AS1 202215 Notice There are 3 new courses 2023090100.212600
AS1 202216 Notice There are 3 new courses 2023090100.212600
AS1 202217 Notice There are 3 new courses 2023090100.212600
AS1 202218 Notice There are 3 new courses 2023090100.212600
AS1 202201 Notice There is 1 new course 2023090101.272300
AS1 202202 Notice There is 1 new course 2023090101.272300
AS1 202203 Notice There is 1 new course 2023090101.272300
AS1 202204 Notice There is 1 new course 2023090101.272300
AS1 202205 Notice There is 1 new course 2023090101.272300
AS1 202206 Notice There is 1 new course 2023090101.272300
AS1 202207 Notice There is 1 new course 2023090101.272300
AS1 202208 Notice There is 1 new course 2023090101.272300
AS1 202209 Notice There is 1 new course 2023090101.272300
AS1 202210 Notice There is 1 new course 2023090101.272300
AS1 202211 Notice There is 1 new course 2023090101.272300
AS1 202212 Notice There is 1 new course 2023090101.272300
AS1 202213 Notice There is 1 new course 2023090101.272300
AS1 202214 Notice There is 1 new course 2023090101.272300
AS1 202215 Notice There is 1 new course 2023090101.272300
AS1 202216 Notice There is 1 new course 2023090101.272300
AS1 202217 Notice There is 1 new course 2023090101.272300
AS1 202218 Notice There is 1 new course 2023090101.272300
AS1 T1 Notice Volleyball course has been cancelled due to insufficient enrollment 2023090101.285300
AS1 202201 Notice 4 courses have been deleted 2023090101.285300
AS1 202202 Notice 4 courses have been deleted 2023090101.285300
AS1 202203 Notice 4 courses have been deleted 2023090101.285300
AS1 202204 Notice 4 courses have been deleted 2023090101.285300
AS1 202205 Notice 4 courses have been deleted 2023090101.285300
AS1 202206 Notice 4 courses have been deleted 2023090101.285300
AS1 202207 Notice 4 courses have been deleted 2023090101.285300
AS1 202208 Notice 4 courses have been deleted 2023090101.285300
AS1 202209 Notice 4 courses have been deleted 2023090101.285300
AS1 202210 Notice 4 courses have been deleted 2023090101.285300
AS1 202211 Notice 4 courses have been deleted 2023090101.285300
AS1 202212 Notice 4 courses have been deleted 2023090101.285300
AS1 202213 Notice 4 courses have been deleted 2023090101.285300
AS1 202214 Notice 4 courses have been deleted 2023090101.285300
AS1 202215 Notice 4 courses have been deleted 2023090101.285300
AS1 202216 Notice 4 courses have been deleted 2023090101.285300
AS1 202217 Notice 4 courses have been deleted 2023090101.285300
AS1 202218 Notice 4 courses have been deleted 2023090101.285300
AS1 T1 Notice Math course has been cancelled due to insufficient enrollment 2023090101.285600
AS1 202201 Notice 4 courses have been deleted 2023090101.285600
AS1 202202 Notice 4 courses have been deleted 2023090101.285600
AS1 202203 Notice 4 courses have been deleted 2023090101.285600
AS1 202204 Notice 4 courses have been deleted 2023090101.285600
AS1 202205 Notice 4 courses have been deleted 2023090101.285600
AS1 202206 Notice 4 courses have been deleted 2023090101.285600
AS1 202207 Notice 4 courses have been deleted 2023090101.285600
AS1 202208 Notice 4 courses have been deleted 2023090101.285600
AS1 202209 Notice 4 courses have been deleted 2023090101.285600
AS1 202210 Notice 4 courses have been deleted 2023090101.285600
AS1 202211 Notice 4 courses have been deleted 2023090101.285600
AS1 202212 Notice 4 courses have been deleted 2023090101.285600
AS1 202213 Notice 4 courses have been deleted 2023090101.285600
AS1 202214 Notice 4 courses have been deleted 2023090101.285600
AS1 202215 Notice 4 courses have been deleted 2023090101.285600
AS1 202216 Notice 4 courses have been deleted 2023090101.285600
AS1 202217 Notice 4 courses have been deleted 2023090101.285600
AS1 202218 Notice 4 courses have been deleted 2023090101.285600
AS1 T3 Notice Innovation and Entrepreneurship course has been cancelled due to insufficient enrollment 2023090101.285900
AS1 202201 Notice 4 courses have been deleted 2023090101.285900
AS1 202202 Notice 4 courses have been deleted 2023090101.285900
AS1 202203 Notice 4 courses have been deleted 2023090101.285900
AS1 202204 Notice 4 courses have been deleted 2023090101.285900
AS1 202205 Notice 4 courses have been deleted 2023090101.285900
AS1 202206 Notice 4 courses have been deleted 2023090101.285900
AS1 202207 Notice 4 courses have been deleted 2023090101.285900
AS1 202208 Notice 4 courses have been deleted 2023090101.285900
AS1 202209 Notice 4 courses have been deleted 2023090101.285900
AS1 202210 Notice 4 courses have been deleted 2023090101.285900
AS1 202211 Notice 4 courses have been deleted 2023090101.285900
AS1 202212 Notice 4 courses have been deleted 2023090101.285900
AS1 202213 Notice 4 courses have been deleted 2023090101.285900
AS1 202214 Notice 4 courses have been deleted 2023090101.285900
AS1 202215 Notice 4 courses have been deleted 2023090101.285900
AS1 202216 Notice 4 courses have been deleted 2023090101.285900
AS1 202217 Notice 4 courses have been deleted 2023090101.285900
AS1 202218 Notice 4 courses have been deleted 2023090101.285900
AS1 T2 Notice Programming Practice course has been cancelled due to insufficient enrollment 2023090101.290400
AS1 202201 Notice 4 courses have been deleted 2023090101.290400
AS1 202202 Notice 4 courses have been deleted 2023090101.290400
AS1 202203 Notice 4 courses have been deleted 2023090101.290400
AS1 202204 Notice 4 courses have been deleted 2023090101.290400
AS1 202205 Notice 4 courses have been deleted 2023090101.290400
AS1 202206 Notice 4 courses have been deleted 2023090101.290400
AS1 202207 Notice 4 courses have been deleted 2023090101.290400
AS1 202208 Notice 4 courses have been deleted 2023090101.290400
AS1 202209 Notice 4 courses have been deleted 2023090101.290400
AS1 202210 Notice 4 courses have been deleted 2023090101.290400
AS1 202211 Notice 4 courses have been deleted 2023090101.290400
AS1 202212 Notice 4 courses have been deleted 2023090101.290400
AS1 202213 Notice 4 courses have been deleted 2023090101.290400
AS1 202214 Notice 4 courses have been deleted 2023090101.290400
AS1 202215 Notice 4 courses have been deleted 2023090101.290400
AS1 202216 Notice 4 courses have been deleted 2023090101.290400
AS1 202217 Notice 4 courses have been deleted 2023090101.290400
AS1 202218 Notice 4 courses have been deleted 2023090101.290400
AS1 202201 Notice There is 1 new course 2023090101.523700
AS1 202202 Notice There is 1 new course 2023090101.523700
AS1 202203 Notice There is 1 new course 2023090101.523700
AS1 202204 Notice There is 1 new course 2023090101.523700
AS1 202205 Notice There is 1 new course 2023090101.523700
AS1 202206 Notice There is 1 new course 2023090101.523700
AS1 202207 Notice There is 1 new course 2023090101.523700
AS1 202208 Notice There is 1 new course 2023090101.523700
AS1 202209 Notice There is 1 new course 2023090101.523700
AS1 202210 Notice There is 1 new course 2023090101.523700
AS1 202211 Notice There is 1 new course 2023090101.523700
AS1 202212 Notice There is 1 new course 2023090101.523700
AS1 202213 Notice There is 1 new course 2023090101.523700
AS1 202214 Notice There is 1 new course 2023090101.523700
AS1 202215 Notice There is 1 new course 2023090101.523700
AS1 202216 Notice There is 1 new course 2023090101.523700
AS1 202217 Notice There is 1 new course 2023090101.523700
AS1 202218 Notice There is 1 new course 2023090101.523700
202201 A1 Question Do you like red? 2023083118.565000
202201 A1 Question Do you like blue? 2023083119.002000
AS1 202201 Notice There is 1 new course 2023083119.073200
AS1 202202 Notice There is 1 new course 2023083119.073200
AS1 202203 Notice There is 1 new course 2023083119.073200
AS1 202204 Notice There is 1 new course 2023083119.073200
AS1 202205 Notice There is 1 new course 2023083119.073200
AS1 202206 Notice There is 1 new course 2023083119.073200
AS1 202207 Notice There is 1 new course 2023083119.073200
AS1 202208 Notice There is 1 new course 2023083119.073200
AS1 202209 Notice There is 1 new course 2023083119.073200
AS1 202210 Notice There is 1 new course 2023083119.073200
AS1 202211 Notice There is 1 new course 2023083119.073200
AS1 202212 Notice There is 1 new course 2023083119.073200
AS1 202213 Notice There is 1 new course 2023083119.073200
AS1 202214 Notice There is 1 new course 2023083119.073200
AS1 202215 Notice There is 1 new course 2023083119.073200
AS1 202216 Notice There is 1 new course 2023083119.073200
AS1 202217 Notice There is 1 new course 2023083119.073200
AS1 202218 Notice There is 1 new course 2023083119.073200
AS1 T1 Notice Introduction to Culture course has been cancelled due to insufficient enrollment 2023083119.123000
AS1 202201 Notice 1 course has been deleted 2023083119.123000
AS1 202202 Notice 1 course has been deleted 2023083119.123000
AS1 202203 Notice 1 course has been deleted 2023083119.123000
AS1 202204 Notice 1 course has been deleted 2023083119.123000
AS1 202205 Notice 1 course has been deleted 2023083119.123000
AS1 202206 Notice 1 course has been deleted 2023083119.123000
AS1 202207 Notice 1 course has been deleted 2023083119.123000
AS1 202208 Notice 1 course has been deleted 2023083119.123000
AS1 202209 Notice 1 course has been deleted 2023083119.123000
AS1 202210 Notice 1 course has been deleted 2023083119.123000
AS1 202211 Notice 1 course has been deleted 2023083119.123000
AS1 202212 Notice 1 course has been deleted 2023083119.123000
AS1 202213 Notice 1 course has been deleted 2023083119.123000
AS1 202214 Notice 1 course has been deleted 2023083119.123000
AS1 202215 Notice 1 course has been deleted 2023083119.123000
AS1 202216 Notice 1 course has been deleted 2023083119.123000
AS1 202217 Notice 1 course has been deleted 2023083119.123000
AS1 202218 Notice 1 course has been deleted 2023083119.123000
AS1 202219 Notice 1 course has been deleted 2023083119.123000
AS1 T1 Notice Introduction to Mao Zedong Thought course has been cancelled due to insufficient enrollment 2023083119.184700
AS1 202201 Notice 2 courses have been deleted 2023083119.184700
AS1 202202 Notice 2 courses have been deleted 2023083119.184700
AS1 202203 Notice 2 courses have been deleted 2023083119.184700
AS1 202204 Notice 2 courses have been deleted 2023083119.184700
AS1 202205 Notice 2 courses have been deleted 2023083119.184700
AS1 202206 Notice 2 courses have been deleted 2023083119.184700
AS1 202207 Notice 2 courses have been deleted 2023083119.184700
AS1 202208 Notice 2 courses have been deleted 2023083119.184700
AS1 202209 Notice 2 courses have been deleted 2023083119.184700
AS1 202210 Notice 2 courses have been deleted 2023083119.184700
AS1 202211 Notice 2 courses have been deleted 2023083119.184700
AS1 202212 Notice 2 courses have been deleted 2023083119.184700
AS1 202213 Notice 2 courses have been deleted 2023083119.184700
AS1 202214 Notice 2 courses have been deleted 2023083119.184700
AS1 202215 Notice 2 courses have been deleted 2023083119.184700
AS1 202216 Notice 2 courses have been deleted 2023083119.184700
AS1 202217 Notice 2 courses have been deleted 2023083119.184700
AS1 202218 Notice 2 courses have been deleted 2023083119.184700
AS1 202219 Notice 2 courses have been deleted 2023083119.184700
AS1 202220 Notice 2 courses have been deleted 2023083119.184700
AS1 202221 Notice 2 courses have been deleted 2023083119.184700
AS1 202222 Notice 2 courses have been deleted 2023083119.184700
AS1 T1 Notice Party History course has been cancelled due to insufficient enrollment 2023083119.185100
AS1 202201 Notice 2 courses have been deleted 2023083119.185100
AS1 202202 Notice 2 courses have been deleted 2023083119.185100
AS1 202203 Notice 2 courses have been deleted 2023083119.185100
AS1 202204 Notice 2 courses have been deleted 2023083119.185100
AS1 202205 Notice 2 courses have been deleted 2023083119.185100
AS1 202206 Notice 2 courses have been deleted 2023083119.185100
AS1 202207 Notice 2 courses have been deleted 2023083119.185100
AS1 202208 Notice 2 courses have been deleted 2023083119.185100
AS1 202209 Notice 2 courses have been deleted 2023083119.185100
AS1 202210 Notice 2 courses have been deleted 2023083119.185100
AS1 202211 Notice 2 courses have been deleted 2023083119.185100
AS1 202212 Notice 2 courses have been deleted 2023083119.185100
AS1 202213 Notice 2 courses have been deleted 2023083119.185100
AS1 202214 Notice 2 courses have been deleted 2023083119.185100
AS1 202215 Notice 2 courses have been deleted 2023083119.185100
AS1 202216 Notice 2 courses have been deleted 2023083119.185100
AS1 202217 Notice 2 courses have been deleted 2023083119.185100
AS1 202218 Notice 2 courses have been deleted 2023083119.185100
AS1 202219 Notice 2 courses have been deleted 2023083119.185100
AS1 202220 Notice 2 courses have been deleted 2023083119.185100
AS1 202221 Notice 2 courses have been deleted 2023083119.185100
AS1 202222 Notice 2 courses have been deleted 2023083119.185100
AS1 T1 Notice Music Engineering course has been cancelled due to insufficient enrollment 2023083119.224400
AS1 202201 Notice 1 course has been deleted 2023083119.224500
AS1 202202 Notice 1 course has been deleted 2023083119.224500
AS1 202203 Notice 1 course has been deleted 2023083119.224500
AS1 202204 Notice 1 course has been deleted 2023083119.224500
AS1 202205 Notice 1 course has been deleted 2023083119.224500
AS1 202206 Notice 1 course has been deleted 2023083119.224500
AS1 202207 Notice 1 course has been deleted 2023083119.224500
AS1 202208 Notice 1 course has been deleted 2023083119.224500
AS1 202209 Notice 1 course has been deleted 2023083119.224500
AS1 202210 Notice 1 course has been deleted 2023083119.224500
AS1 202211 Notice 1 course has been deleted 2023083119.224500
AS1 202212 Notice 1 course has been deleted 2023083119.224500
AS1 202213 Notice 1 course has been deleted 2023083119.224500
AS1 202214 Notice 1 course has been deleted 2023083119.224500
AS1 202215 Notice 1 course has been deleted 2023083119.224500
AS1 202216 Notice 1 course has been deleted 2023083119.224500
AS1 202217 Notice 1 course has been deleted 2023083119.224500
AS1 202218 Notice 1 course has been deleted 2023083119.224500
AS1 202219 Notice 1 course has been deleted 2023083119.224500
AS1 202220 Notice 1 course has been deleted 2023083119.224500
AS1 202221 Notice 1 course has been deleted 2023083119.224500
AS1 202222 Notice 1 course has been deleted 2023083119.224500
AS1 202223 Notice 1 course has been deleted 2023083119.224500
AS1 T1 Notice Xi Jinping Thought course has been cancelled due to insufficient enrollment 2023083119.242900
AS1 202201 Notice 1 course has been deleted 2023083119.242900
AS1 202202 Notice 1 course has been deleted 2023083119.242900
AS1 202203 Notice 1 course has been deleted 2023083119.242900
AS1 202204 Notice 1 course has been deleted 2023083119.242900
AS1 202205 Notice 1 course has been deleted 2023083119.242900
AS1 202206 Notice 1 course has been deleted 2023083119.242900
AS1 202207 Notice 1 course has been deleted 2023083119.242900
AS1 202208 Notice 1 course has been deleted 2023083119.242900
AS1 202209 Notice 1 course has been deleted 2023083119.242900
AS1 202210 Notice 1 course has been deleted 2023083119.242900
AS1 202211 Notice 1 course has been deleted 2023083119.242900
AS1 202212 Notice 1 course has been deleted 2023083119.242900
AS1 202213 Notice 1 course has been deleted 2023083119.242900
AS1 202214 Notice 1 course has been deleted 2023083119.242900
AS1 202215 Notice 1 course has been deleted 2023083119.242900
AS1 202216 Notice 1 course has been deleted 2023083119.242900
AS1 202217 Notice 1 course has been deleted 2023083119.242900
AS1 202218 Notice 1 course has been deleted 2023083119.242900
AS1 202219 Notice 1 course has been deleted 2023083119.242900
AS1 202220 Notice 1 course has been deleted 2023083119.242900
AS1 202221 Notice 1 course has been deleted 2023083119.242900
AS1 202222 Notice 1 course has been deleted 2023083119.242900
AS1 202223 Notice 1 course has been deleted 2023083119.242900
AS1 T2 Notice Table Tennis course has been cancelled due to insufficient enrollment 2023083119.255800
AS1 202201 Notice 1 course has been deleted 2023083119.255800
AS1 202202 Notice 1 course has been deleted 2023083119.255800
AS1 202203 Notice 1 course has been deleted 2023083119.255800
AS1 202204 Notice 1 course has been deleted 2023083119.255800
AS1 202205 Notice 1 course has been deleted 2023083119.255800
AS1 202206 Notice 1 course has been deleted 2023083119.255800
AS1 202207 Notice 1 course has been deleted 2023083119.255800
AS1 202208 Notice 1 course has been deleted 2023083119.255800
AS1 202209 Notice 1 course has been deleted 2023083119.255800
AS1 202210 Notice 1 course has been deleted 2023083119.255800
AS1 202211 Notice 1 course has been deleted 2023083119.255800
AS1 202212 Notice 1 course has been deleted 2023083119.255800
AS1 202213 Notice 1 course has been deleted 2023083119.255800
AS1 202214 Notice 1 course has been deleted 2023083119.255800
AS1 202215 Notice 1 course has been deleted 2023083119.255800
AS1 202216 Notice 1 course has been deleted 2023083119.255800
AS1 202217 Notice 1 course has been deleted 2023083119.255800
AS1 202218 Notice 1 course has been deleted 2023083119.255800
AS1 202219 Notice 1 course has been deleted 2023083119.255800
AS1 202220 Notice 1 course has been deleted 2023083119.255800
AS1 202221 Notice 1 course has been deleted 2023083119.255800
AS1 202222 Notice 1 course has been deleted 2023083119.255800
AS1 202223 Notice 1 course has been deleted 2023083119.255800
